Номер;Гонщик;None;Команда;Машина;Мотор;Шины
2;Скотт Пай;None;Mobil 1 MEGA Racing;Holden Commodore ZB;Holden V8-5;Dunlop
3;Гарри Джекобсон;None;Kelly Racing;Nissan Altima L33;Nissan V8-5;Dunlop
5;Ли Холдсуорт;None;Tickford Racing;Ford Mustang GT;Ford V8-5;Dunlop
6;Кэмерон Уотерс;None;Tickford Racing;Ford Mustang GT;Ford V8-5;Dunlop
7;Андре Хаймгартнер;None;Plus Fitness Racing;Nissan Altima L33;Nissan V8-5;Dunlop
8;Ник Перкат;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
9;Дэвид Рейнольдс;None;Penrite Racing;Holden Commodore ZB;Holden V8-5;Dunlop
12;Фабиан Култхард;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
14;Тим Слейд;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
15;Рик Келли;None;Castrol Racing;Nissan Altima L33;Nissan V8-5;Dunlop
17;Скотт Маклафлин;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
18;Марк Винтерботтом;None;Irwin Racing;Holden Commodore ZB;Holden V8-5;Dunlop
19;Джек ЛеБрок;None;Truck Assist Tekno Racing;Holden Commodore ZB;Holden V8-5;Dunlop
21;Маколи Джонс;None;Team Cooldrive;Holden Commodore ZB;Holden V8-5;Dunlop
22;Джеймс Кортни;None;Mobil 1 MEGA Racing;Holden Commodore ZB;Holden V8-5;Dunlop
23;Уилл Дэвисон;None;Milwaukee Racing;Ford Mustang GT;Ford V8-5;Dunlop
33;Ричи Стэнэвей;None;Mobil 1 Boost Mobile Racing;Holden Commodore ZB;Holden V8-5;Dunlop
34;Джеймс Голдинг;None;Mobil 1 Boost Mobile Racing;Holden Commodore ZB;Holden V8-5;Dunlop
35;Тодд Хазелвуд;None;Matt Stone Racing;Holden Commodore ZB;Holden V8-5;Dunlop
55;Час Мостер;None;Tickford Racing;Ford Mustang GT;Ford V8-5;Dunlop
78;Симона де Сильвестро;None;Nissan Motorsport (Австралия);Nissan Altima L33;Nissan V8-5;Dunlop
88;Джейми Уинкап;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
97;Шейн ван Гисберген;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
99;Антон де Паскуале;None;Penrite Racing;Holden Commodore ZB;Holden V8-5;Dunlop
